exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy
95,0.266454,5387,2.79,0.217125,11691,3.34
96,0.286625,3952,2.62,0.235558,9153,3.13
97,0.305869,2819,2.47,0.253602,6997,2.94
98,0.323783,1957,2.34,0.270923,5222,2.76
99,0.339972,1323,2.22,0.287178,3807,2.60
100,0.356971,873,2.10,0.304409,2714,2.45
101,0.374819,562,1.99,0.322673,1888,2.31
102,0.393560,351,1.88,0.342033,1279,2.17
103,0.413238,213,1.78,0.362555,841,2.03
104,0.433900,125,1.68,0.384309,536,1.91
105,0.455595,71,1.59,0.407367,330,1.79
106,0.478375,39,1.50,0.431809,196,1.67
107,0.502293,20,1.41,0.457718,111,1.56
108,0.527408,10,1.32,0.485181,60,1.45
109,0.553778,5,1.24,0.514292,31,1.35
110,0.581467,2,1.17,0.545149,15,1.26
111,0.610541,1,1.09,0.577858,7,1.17
112,0.641068,0,1.02,0.612530,3,1.08
113,0.673121,0,0.95,0.649282,1,1.00
114,0.706777,0,0.89,0.688238,0,0.92
115,0.742116,0,0.83,0.729533,0,0.84
116,0.779222,0,0.77,0.773305,0,0.77
117,0.818183,0,0.71,0.818183,0,0.71
118,0.859092,0,0.66,0.859092,0,0.66
119,0.902047,0,0.60,0.902047,0,0.60
