OPE ID,School,Recipients
00115300," California State University, Northridge",22.0
00115400, San Francisco State University,1558.0
00115500, San Jose State University,404.0
00115600, Sonoma State University,79.0
00115700," California State University, Stanislaus",57.0
00116100, Cerritos Community College,
00116200, Chabot College,
00116300, Chaffey Community College,
00116400, Chapman University,351.0
00116500, Church Divinity School of the Pacific,
00116600, Citrus Community College,
00116900, Claremont Graduate University,14.0
00117000, Claremont McKenna College,56.0
00117100, Harvey Mudd College,97.0
00117200, Pitzer College,51.0
00117300, Pomona College,109.0
00117400, Scripps College,21.0
00117600, West Hills Community College,
00117700, Cogswell Polytechnical College,
00117800, College of Marin,
00117900, Notre Dame de Namur University,113.0
00118100, College of San Mateo,
00118200, College of the Desert,
00118300, Holy Names University,7.0
00118500, College of the Redwoods,
00118600, College of the Sequoias,
00118700, College of the Siskiyous,
00119000, Contra Costa College,
00119100, Diablo Valley College,
00119200, Cuesta College,
00119300, Cypress College,
00119600, Dominican University of California,23.0
00119700, El Camino College,
00119900, Foothill College,
00120000, Fuller Theological Seminary,24.0
00120100, Fullerton College,
00120200, Gavilan College,
00120300, Glendale Community College,
00120500, Golden Gate University,57.0
00120700, Graduate Theological Union,14.0
00120800, Grossmont College,
00120900, Hartnell Community College,
00121200, Humphreys College,
00121400, Imperial Valley College,
00121500, La Sierra University,455.0
00121600, University of La Verne,525.0
00121700, Lassen College,
00121800, Loma Linda University,486.0
00121900, Long Beach City College,2.0
00122000, Master's College & Seminary (The),30.0
00122300, Los Angeles City College,15.0
00122400, Los Angeles Harbor College,8.0
00122600, Los Angeles Pierce College,
00122700, Los Angeles Trade-Technical College,4.0
00122800, Los Angeles Valley College,14.0
00122900, Southern California University of Health Sciences,
00123000, Marshall B. Ketchum University,300.0
00123200, American River College,
00123300, Sacramento City College,
00123600, Menlo College,
00123700, Merced Community College,
00123800, Mills College,127.0
00123900, MiraCosta College,
00124000, Modesto Junior College,
00124200, Monterey Peninsula College,
00124300, Mount Saint Mary's University,
00124500, Mount San Antonio College,1.0
00124600, Mt. San Jacinto College,
00124700, Napa Valley College,
00124900, Occidental College,305.0
00125000, Orange Coast College,17.0
00125100, Otis College of Art & Design,1.0
00125200, Hope International University,
00125300, Fresno Pacific University,76.0
00125400, Pacific Lutheran Theological Seminary,
00125500, Pacific Oaks College,
00125600, Pacific School of Religion,
00125800, Pacific Union College,277.0
00125900, Palo Verde College,
00126000, Palomar College,
00126100, Pasadena City College,
00126200, Point Loma Nazarene University,207.0
00126600, Laney College,
00126700, Merritt College,
00126900, Rio Hondo Community College,
00127000, Riverside City College,
00127200, San Bernardino Valley College,5.0
00127300, San Diego City College,
00127500, San Diego Mesa College,
00127800, San Francisco Conservatory of Music,40.0
00128000, San Joaquin Delta College,
00128100, William Jessup University,
00128200, San Jose City College,
00128400, Santa Ana College,
00128500, Santa Barbara City College,
00128600, Santa Monica College,
00128700, Santa Rosa Junior College,
00128800, Claremont School of Theology,
00128900, Shasta College,
00129000, Sierra College,
00129100, Simpson University,50.0
00129200, Solano Community College,
00129300, Vanguard University of Southern California,147.0
00129400, Southwestern Community College District,
00129500, Southwestern Law School,142.0
00130200, Saint Mary's College of California,200.0
00130500, Stanford University,1747.0
00130700, Fresno City College,
00130800, Reedley College,
00130900, Taft College,
00131200," University of California, Berkeley",2465.0
00131300," University of California, Davis",4838.0
00131400," University of California, Irvine",917.0
00131500," University of California, Los Angeles",5831.0
00131600," University of California, Riverside",1333.0
00131700," University of California, San Diego",2110.0
00131900," University of California, San Francisco",869.0
00132000," University of California, Santa Barbara",1277.0
00132100," University of California, Santa Cruz",1534.0
00132200, University of Redlands,587.0
00132500, University of San Francisco,627.0
00132600, Santa Clara University,300.0
00132800, University of Southern California,2409.0
00132900, University of the Pacific,1102.0
00133400, Ventura College,
00133500, Victor Valley Community College,
00133800, West Valley College,
00133900, Corban University,51.0
00134100, Westmont College,176.0
00134200, Whittier College,207.0
00134300, Woodbury University,54.0
00134400, Yuba College,
00134500, Adams State University,17.0
00134600, Arapahoe Community College,
00134700, Colorado College,209.0
00134800, Colorado School of Mines,124.0
00134900, University of Northern Colorado,489.0
00135000, Colorado State University,1983.0
00135200, Denver Seminary,
00135300, Fort Lewis College,118.0
00135400, Iliff School of Theology,18.0
00135500, Lamar Community College,
00135800, Colorado Mesa University,77.0
00135900, Colorado Northwestern Community College,40.0
00136000, Metropolitan State University of Denver,429.0
00136100, Northeastern Junior College,
00136200, Otero Junior College,
00136300, Regis University,145.0
00136500, Colorado State University-Pueblo,29.0
00136800, Trinidad State Junior College,
00137000, University of Colorado Boulder,593.0
00137100, University of Denver,1050.0
00137200, Western State Colorado University,100.0
00137400, Albertus Magnus College,46.0
00137800, Central Connecticut State University,253.0
00137900, Connecticut College,281.0
00138000, Western Connecticut State University,71.0
00138500, Fairfield University,448.0
00138700, Hartford Seminary,
00139200, Manchester Community College,
00139300, Mitchell College,47.0
00139700, University of New Haven,119.0
00139800, Northwestern Connecticut Community College,
00139900, Norwalk Community College,
00140100, Post University,
00140200, Quinnipiac University,492.0
00140300, Sacred Heart University,4.0
00140600, Southern Connecticut State University,144.0
00140900, University of Saint Joseph,30.0
00141400, Trinity College,112.0
00141600, University of Bridgeport,515.0
00141700, University of Connecticut,753.0
00142200, University of Hartford,411.0
00142400, Wesleyan University,303.0
00142500, Eastern Connecticut State University,156.0
00142600, Yale University,998.0
00142800, Delaware State University,
00142900, Goldey-Beacom College,1.0
00143100, University of Delaware,1311.0
00143300, Wesley College,29.0
00143400, American University (The),579.0
00143600, Capitol Technology University,57.0
00143700, Catholic University of America (The),587.0
00144100, University of the District of Columbia,
00144300, Gallaudet University,12.0
00144400, George Washington University,2274.0
00144500, Georgetown University,1136.0
00144800, Howard University,65.0
00145900, Strayer University,
00146000, Trinity College,128.0
00146400, Wesley Theological Seminary,
00146600, Barry University,22.0
00146700, Bethune Cookman University,
00146800, Saint Thomas University,151.0
00146900, Florida Institute of Technology,517.0
00147000, Eastern Florida State College,
00147100, College of Central Florida,
00147200, Chipola College,
00147300, Clearwater Christian College,
00147500, Daytona State College,
00147700, Florida SouthWestern State College,
00147800, Edward Waters College,
00147900, Embry-Riddle Aeronautical University,650.0
00148000, Florida Agricultural & Mechanical University,348.0
00148100, Florida Atlantic University,137.0
00148200, Florida College,17.0
00148400, Florida State College at Jacksonville,
00148500, Florida Keys Community College,
00148600, Florida Memorial University,
00148700, Eckerd College,133.0
00148800, Florida Southern College,113.0
00148900, Florida State University,643.0
00149000, Gulf Coast State College,
00149300, Indian River State College,
00149500, Jacksonville University,39.0
00149700, Jones College,
00149900, Everest University,
00150000, Broward College,
00150100, Florida Gateway College,
00150200, Lake Sumter State College,
00150400," State College of Florida, Manatee-Sarasota",
00150500, Lynn University,1.0
00150600, Miami Dade College,1255.0
00150800, North Florida Community College,
00150900, Nova Southeastern University,218.0
00151000, Northwest Florida State College,
00151200, Palm Beach State College,
00151300, Pensacola State College,
00151400, Polk State College,
00151500, Rollins College,152.0
00151900, Santa Fe College,
00152000, Seminole State College of Florida,
00152100, Southeastern University,148.0
00152200, South Florida State College,
00152300, Saint Johns River State College,
00152600, Saint Leo University,
00152800, St. Petersburg College,
00153100, Stetson University,307.0
00153300, Tallahassee Community College,
00153500, University of Florida,1808.0
00153600, University of Miami,1662.0
00153700, University of South Florida,338.0
00153800, University of Tampa (The),152.0
00154000, Webber International University,16.0
00154100, Abraham Baldwin Agricultural College,
00154200, Agnes Scott College,
00154300, Darton State College,
00154400, Albany State University,22.0
00154500, Andrew College,
00154600, Armstrong State University,
00154700, Point University,
00155400, Berry College,76.0
00155500, Thomas University,
00155600, Brenau University,16.0
00155700, Brewton Parker College,25.0
00155800, College of Coastal Georgia,
00155900, Clark Atlanta University,401.0
00156000, Columbia Theological Seminary,
00156100, Columbus State University,31.0
00156200, Georgia Perimeter College,
00156300, Emmanuel College,
00156400, Emory University,647.0
00156600, Fort Valley State University,18.0
00156800, Interdenominational Theological Center,
00156900, Georgia Institute of Technology,236.0
00157000, Southern Polytechnic State University,
00157100, Georgia Military College,
00157200, Georgia Southern University,248.0
00157300, Georgia Southwestern State University,22.0
00157400, Georgia State University,336.0
00157500, Gordon State College,
00157700, Kennesaw State University,23.0
00157800, LaGrange College,
00157900, Georgia Regents University,157.0
00158000, Mercer University,295.0
00158100, Middle Georgia State University,
00158200, Morehouse College,96.0
00158500, University of North Georgia,21.0
00158600, Oglethorpe University,36.0
00158700, Paine College,
00158800, Piedmont College,
00158900, Reinhardt University,
00159000, Savannah State University,21.0
00159100, Shorter University,3.0
00159200, South Georgia State College,
00159400, Spelman College,111.0
00159600, Toccoa Falls College,
00159700, Truett McConnell College,
00159800, University of Georgia,462.0
00159900, Valdosta State University,
00160000, Wesleyan College,22.0
00160100, University of West Georgia,79.0
00160200, Georgia College & State University,100.0
00160400, Young Harris College,
00160500, Chaminade University of Honolulu,
00161000, University of Hawaii at Manoa,891.0
00161100, University of Hawaii at Hilo,76.0
00161200, Honolulu Community College,
00161300, Kapiolani Community College,32.0
00161400, Kauai Community College,
00161500, University of Hawaii Maui College,
00161600, Boise State University,1236.0
00161700, College of Idaho (The),137.0
00161900, College of Southern Idaho,
00162000, Idaho State University,66.0
00162100, Lewis-Clark State College,28.0
00162300, North Idaho College,
00162400, Northwest Nazarene University,191.0
00162600, University of Idaho,1431.0
00162800, American Academy of Art,
00163300, Augustana College,417.0
00163400, Aurora University,16.0
00163600, Southwestern Illinois College,
00163700, Bethany Theological Seminary,
00163800, Black Hawk College,
00163900, Blackburn University,
00164000, Prairie State College,
00164100, Bradley University,378.0
00164300, Spoon River College,
00164800, City Colleges of Chicago Harry S Truman College,
00164900, Richard J Daley College-City Colleges of Chicago,
00165000, City Colleges of Chicago - Malcolm X College,
00165200, Harold Washington College,
00165400, City Colleges of Chicago - Kennedy King College,
00165500, Wilbur Wright College,
00165700, Midwestern University,217.0
00165900, Rosalind Franklin University of Medicine and Science,248.0
00166100, Chicago Theological Seminary,
00166400, University of St. Francis,107.0
00166500, Columbia College Chicago,
00166600, Concordia University,55.0
00166900, Danville Area Community College,
00167100, DePaul University,768.0
00167400, Eastern Illinois University,334.0
00167500, Elgin Community College,
00167600, Elmhurst College,96.0
00167800, Eureka College,32.0
00168100, Highland Community College,
00168200, Garrett - Evangelical Theological Seminary,4.0
00168400, Greenville College,116.0
00168500, Hebrew Theological College,
00168800, Illinois College,258.0
00168900, Illinois College of Optometry,435.0
00169100, Illinois Institute of Technology,751.0
00169200, Illinois State University,504.0
00169300, Northeastern Illinois University,112.0
00169400, Chicago State University,59.0
00169600, Illinois Wesleyan University,337.0
00169800, John Marshall Law School (The),
00169900, Joliet Junior College,
00170000, Judson University,153.0
00170100, Kaskaskia College,
00170300, Kendall College,55.0
00170400, Knox College,347.0
00170500, Illinois Valley Community College,
00170600, Lake Forest College,133.0
00170700, Lewis University,5.0
00170800, Lincoln Christian University,25.0
00170900, Lincoln College,
00171000, Loyola University Chicago,1867.0
00171600, MacCormac College,
00171700, MacMurray College,252.0
00172100, McCormick Theological Seminary,
00172200, McKendree University,8.0
00172400, Millikin University,375.0
00172500, Monmouth College,419.0
00172700, Moody Bible Institute,
00172800, Morton College,
00173200, National University of Health Sciences (The),257.0
00173300, National Louis University,43.0
00173400, North Central College,224.0
00173500, North Park University,242.0
00173600, Northern Baptist Theological Seminary,
00173700, Northern Illinois University,478.0
00173900, Northwestern University,1715.0
00174100, Olivet Nazarene University,613.0
00174200, Illinois Eastern Community Colleges - Olney Central College,
00174500, Quincy University,29.0
00174600, Robert Morris University Illinois,293.0
00174700, Rock Valley College,
00174800, Rockford University,91.0
00174900, Roosevelt University,
00175000, Dominican University,
00175200, Sauk Valley Community College,
00175300, School of the Art Institute of Chicago,185.0
00175600, Shimer College,18.0
00175700, Southeastern Illinois College,
00175800, Southern Illinois University at Carbondale,1574.0
00175900, Southern Illinois University Edwardsville,72.0
00176700, Benedictine University,223.0
00176800, Saint Xavier University,155.0
00176900, South Suburban College of Cook County,
00177100, Trinity Christian College,123.0
00177200, Trinity International University,341.0
00177300, Triton College,
00177400, University of Chicago (The),1290.0
00177500, University of Illinois at Urbana-Champaign,948.0
00177600, University of Illinois at Chicago,1192.0
00177800, VanderCook College of Music,
00178000, Western Illinois University,236.0
00178100, Wheaton College,353.0
00178400, Ancilla Domini College,
00178500, Anderson University,137.0
00178600, Ball State University,893.0
00178700, Bethel College,30.0
00178800, Butler University,777.0
00178900, Christian Theological Seminary,
00179200, DePauw University,300.0
00179300, Earlham College,387.0
00179500, University of Evansville,434.0
00179800, Franklin College of Indiana,131.0
00179900, Goshen College,163.0
00180000, Grace College and Theological Seminary,730.0
00180100, Hanover College,
00180300, Huntington University,128.0
00180400, University of Indianapolis,644.0
00180500, Indiana Institute of Technology,111.0
00180700, Indiana State University,737.0
00180800, University of Southern Indiana,
00180900, Indiana University - Bloomington,2985.0
00181100, Indiana University - East,15.0
00181300, Indiana University - Purdue University Indianapolis,1162.0
00181400, Indiana University - Kokomo,58.0
00181500, Indiana University - Northwest,50.0
00181600, Indiana University - South Bend,242.0
00181700, Indiana University Southeast,206.0
00182000, Manchester University,32.0
00182100, Marian University,60.0
00182200, Indiana Wesleyan University,222.0
00182400, Oakland City University,147.0
00182500, Purdue University,1865.0
00182600, Purdue University - North Central,12.0
00182700, Purdue University - Calumet,83.0
00182800, Indiana University - Purdue University - Ft Wayne,189.0
00183000, Rose - Hulman Institute of Technology,204.0
00183200, University of Saint Francis,32.0
00183300, Saint Joseph's College,156.0
00183400, Calumet College of Saint Joseph,
00183500, Saint Mary of the Woods College,23.0
00183600, Saint Mary's College,259.0
00183800, Taylor University,313.0
00183900, Trine University,
00184000, University of Notre Dame,1471.0
00184200, Valparaiso University,530.0
00184300, Vincennes University,118.0
00184400, Wabash College,
00184600, Briar Cliff University,183.0
00184700, Buena Vista University,170.0
00184800, Southeastern Community College,
00185000, Central College,243.0
00185200, Clarke University,46.0
00185400, Coe College,588.0
00185500, Des Moines University - Osteopathic Medical Center,33.0
00185600, Cornell College,91.0
00185700, Southwestern Community College,
00185800, Divine Word College,32.0
00185900, Dordt College,159.0
00186000, Drake University,647.0
00186200, Ellsworth Community College,
00186400, Iowa Lakes Community College,
00186500, Iowa Central Community College,
00186600, Graceland University,589.0
00186700, Grand View University,291.0
00186800, Grinnell College,103.0
00186900, Iowa State University of Science & Technology,3091.0
00187100, Iowa Wesleyan College,25.0
00187300, Loras College,223.0
00187400, Luther College,545.0
00187500, Marshalltown Community College,
00187700, North Iowa Area Community College,
00187900, Morningside College,231.0
00188000, Mount Mercy University,179.0
00188100, Ashford University,
00188300, Northwestern College,141.0
00188700, Simpson College,241.0
00188900, Saint Ambrose University,156.0
00189000, University of Northern Iowa,1029.0
00189100, University of Dubuque,181.0
00189200, University of Iowa,1443.0
00189300, Upper Iowa University,64.0
00189500, Waldorf College,266.0
00189600, Wartburg College,300.0
00189700, Wartburg Theological Seminary,26.0
00190000, William Penn University,200.0
00190100, Allen County Community College,
00190200, Cowley County Community College & Area Vocational Technical School,
00190300, Baker University,296.0
00190400, Bethany College,97.0
00190500, Bethel College,35.0
00190600, Butler County Community College,
00190800, Central Christian College of Kansas,44.0
00190900, Cloud County Community College,
00191000, Coffeyville Community College,
00191100, Colby Community College,18.0
00191300, Dodge City Community College,
00191400, Donnelly College,
00191500, Fort Hays State University,503.0
00191600, Fort Scott Community College,
00191700, Barclay College,
00191800, Friends University,166.0
00191900, Garden City Community College,
00192000, Hesston College,105.0
00192100, Highland Community College,
00192300, Hutchinson Community College,
00192400, Independence Community College,
00192500, Kansas City Kansas Community College,
00192600, Pittsburg State University,341.0
00192700, Emporia State University,346.0
00192800, Kansas State University,1301.0
00192900, Kansas Wesleyan University,57.0
00193000, Labette Community College,
00193100, Manhattan Christian College,11.0
00193300, McPherson College,187.0
00193600, Neosho County Community College,
00193700, Ottawa University,255.0
00193800, Pratt Community College,
00193900, Newman University,17.0
00194000, Southwestern College,260.0
00194300, University of Saint Mary,95.0
00194500, Sterling College,79.0
00194600, or College,56.0
00194800, University of Kansas,1517.0
00194900, Washburn University - Topeka,51.0
00195000, Wichita State University,1176.0
00195100, Alice Lloyd College,
00195200, Asbury University,217.0
00195300, Asbury Theological Seminary,244.0
00195400, Bellarmine University,89.0
00195500, Berea College,2.0
00195800, Brescia University,34.0
00195900, Campbellsville University,7.0
00196000, Spalding University,52.0
00196100, Centre College of Kentucky,45.0
00196200, University of the Cumberlands,104.0
00196300, Eastern Kentucky University,177.0
00196400, Georgetown College,85.0
00196500, Kentucky Christian University,146.0
00196800, Kentucky State University,43.0
00196900, Kentucky Wesleyan College,44.0
00197200, Lindsey Wilson College,23.0
00197400, Louisville Presbyterian Theological Seminary,7.0
00197500, Midway University,
00197600, Morehead State University,221.0
00197700, Murray State University,347.0
00197900, West Kentucky Community and Technical College,
00198000, University of Pikeville,22.0
00198300, St. Catharine College,
00198700, Transylvania University,182.0
00198800, Union College,142.0
00198900, University of Kentucky,2471.0
00199000, Ashland Community and Technical College,
00199100, Elizabethtown Community  and Technical College,
00199300, Henderson Community College,
00199400, Hopkinsville Community College,
00199600, Big Sandy Community and Technical College,
00199700, Somerset Community College,
00199800, Southeast Kentucky Community and Technical College,
00199900, University of Louisville,391.0
00200100, Thomas More College,155.0
00200200, Western Kentucky University,190.0
00200300, Centenary College of Louisiana,18.0
00200400, Dillard University,338.0
00200500, Nicholls State University,
00200600, Grambling State University,
00200700, Louisiana College,
00200800, Louisiana Tech University,413.0
00201000, Louisiana State University & Agricultural & Mechanical College,627.0
00201100, Louisiana State University at Alexandria,
00201200, Louisiana State University at Eunice,
00201300, Louisiana State University in Shreveport,
00201400, Louisiana State University Health Sciences Center,87.0
00201500, University of New Orleans (The),173.0
00201600, Loyola University New Orleans,672.0
00201700, McNeese State University,103.0
00202000, University of Louisiana at Monroe,321.0
00202100, Northwestern State University,69.0
00202300, University of Holy Cross,
00202400, Southeastern Louisiana University,127.0
00202500, Southern University and Agricultural & Mechanical Colg at Baton Rouge,
00202600, Southern University at New Orleans,
00202900, Tulane University,1817.0
00203100, University of Louisiana at Lafayette,106.0
00203200, Xavier University of Louisiana,256.0
00203300, University of Maine - Presque Isle,154.0
00203600, Bates College,316.0
00203800, Bowdoin College,125.0
00203900, Colby College,67.0
00204000, University of Maine - Farmington,150.0
00204100, University of Maine - Fort Kent,68.0
00204300, Husson University,19.0
00204400, Maine Maritime Academy,109.0
00205000, University of New England,818.0
00205100, Saint Joseph's College,231.0
00205200, Thomas College,98.0
00205300, University of Maine,1441.0
00205400, University of Southern Maine,937.0
00205500, University of Maine - Machias,32.0
00205700, Allegany College of Maryland,
00205800, Anne Arundel Community College,
00206100, Baltimore City Community College,
00206200, Bowie State University,43.0
00206300, Community College of Baltimore County,
00206400, College of Southern Maryland,
00206500, Notre Dame of Maryland University,62.0
00206700, Washington Adventist University,178.0
00206800, Coppin State University,66.0
00207100, Frederick Community College,
00207200, Frostburg State University,286.0
00207300, Goucher College,90.0
00207400, Hagerstown Community College,
00207500, Harford Community College,
00207600, Hood College,98.0
00207700, Johns Hopkins University,1356.0
00207800, Loyola University Maryland,366.0
00208000, Maryland Institute College of Art,252.0
00208300, Morgan State University,99.0
00208600, Mount Saint Mary's University,288.0
00208700, Ner Israel Rabbinical College,
00208900, Prince George's Community College,
00209100, Salisbury University,68.0
00209200, St. John's College,29.0
00209300, Saint John's College,15.0
00209500, Saint Mary's College of Maryland,18.0
00209900, Towson University,821.0
00210200, University of Baltimore,97.0
00210300," University of Maryland, College Park",1037.0
00210400," University of Maryland, Baltimore",392.0
00210500, University of Maryland - Baltimore County,146.0
00210600, University of Maryland - Eastern Shore,12.0
00210700, Stevenson University,2.0
00210800, Washington College,
00210900, McDaniel College,243.0
00211400, American International College,35.0
00211500, Amherst College,45.0
00211700, Anna Maria College,20.0
00211800, Assumption College,182.0
00212000, Merrimack College,89.0
00212100, Babson College,161.0
00212200, Bay Path University,191.0
00212300, Becker College,
00212400, Bentley University,579.0
00212600, Berklee College of Music,248.0
00212800, Boston College,1703.0
00212900, Boston Conservatory,
00213000, Boston University,3269.0
00213300, Brandeis University,622.0
00213900, Clark University,542.0
00214000, College of Our Lady of the Elms,54.0
00214100, College of the Holy Cross,844.0
00214300, Curry College,21.0
00214400, Dean College,101.0
00214500, Eastern Nazarene College,49.0
00214600, Emerson College,234.0
00214700, Emmanuel College,128.0
00214800, Endicott College,148.0
00214900, Episcopal Divinity School,
00215000, Fisher College,43.0
00215100, Benjamin Franklin Institute of Technology,
00215300, Gordon College,247.0
00215400, Hellenic College & Holy Cross Greek Orthodox School of Theology,
00215500, Harvard University,2290.0
00215800, Lasell College,29.0
00216000, Lesley University,126.0
00216100, University of Massachusetts - Lowell,245.0
00216400, New England College of Optometry (The),286.0
00216500, MCPHS University,149.0
00216700, Berkshire Community College,
00216800, Cape Cod Community College,
00216900, Greenfield Community College,
00217000, Holyoke Community College,
00217100, Massachusetts Bay Community College,
00217200, Mount Wachusett Community College,
00217300, North Shore Community College,
00217400, Northern Essex Community College,
00217500, Quinsigamond Community College,
00217600, Bristol Community College,
00217700, Massasoit Community College,
00217800, Massachusetts Institute of Technology,1019.0
00218000, Massachusetts College of Art and Design,28.0
00218100, Massachusetts Maritime Academy,
00218300, Bridgewater State University,
00218400, Fitchburg State University,110.0
00218500, Framingham State University,239.0
00218700, Massachusetts College of Liberal Arts,57.0
00218800, Salem State University,131.0
00218900, Westfield State University,69.0
00219000, Worcester State University,177.0
00219200, Mount Holyoke College,497.0
00219300, Mount Ida College,
00219400, New England Conservatory of Music,262.0
00219700, Nichols College,
00219900, Northeastern University,1806.0
00220100, Pine Manor College,
00220500, Quincy College,
00220600, Regis College,148.0
00220800, Simmons College,95.0
00220900, Trustees of the Smith College,109.0
00221000, University of Massachusetts - Dartmouth,91.0
00221100, Springfield College,393.0
00221700, Stonehill College,54.0
00221800, Suffolk University,542.0
00221900, Tufts University,940.0
00222100, University of Massachusetts - Amherst,1653.0
00222200, University of Massachusetts - Boston,508.0
00222400, Wellesley College,242.0
00222500, Wentworth Institute of Technology,279.0
00222600, Western New England University,555.0
00222700, Wheaton College,487.0
00222800, Wheelock College,58.0
00222900, Williams College,136.0
00223300, Worcester Polytechnic Institute,602.0
00223400, Adrian College,139.0
00223500, Albion College,396.0
00223600, Alma College,133.0
00223700, Alpena Community College,
00223800, Andrews University,214.0
00223900, Aquinas College,
00224000, Bay De Noc Community College,
00224100, Calvin College,704.0
00224200, Calvin Theological Seminary,16.0
00224300, Central Michigan University,312.0
00224600, Cleary University,
00224800, Cranbrook Academy of Art,
00224900, Davenport University,
00225100, Delta College,
00225400, Michigan State University College of Law,
00225900, Eastern Michigan University,393.0
00226000, Ferris State University,1862.0
00226100, Charles Stewart Mott Community College,
00226200, Kettering University,
00226300, Glen Oaks Community College,
00226400, Gogebic Community College,
00226500, Grace Bible College,
00226600, Cornerstone University,162.0
00226700, Grand Rapids Community College,
00226800, Grand Valley State University,1487.0
00226900, Great Lakes Christian College,
00227000, Henry Ford College,
00227300, Hope College,594.0
00227400, Jackson College,
00227500, Kalamazoo College,380.0
00227600, Kellogg Community College,
00227700, Lake Michigan College,
00227800, Lansing Community College,
00227900, Lawrence Technological University,134.0
00228200, Madonna University,
00228400, Marygrove College,153.0
00228800, Rochester College,22.0
00229000, Michigan State University,4548.0
00229200, Michigan Technological University,929.0
00229300, Lake Superior State University,333.0
00229400, Monroe County Community College,
00229500, Montcalm Community College,
00229700, Muskegon Community College,
00229900, North Central Michigan College,
00230100, Northern Michigan University,1435.0
00230200, Northwestern Michigan College,
00230300, Oakland Community College,
00230700, Oakland University,75.0
00230800, Olivet College,66.0
00231000, St. Clair County Community College,
00231100, Kuyper College,
00231300, Sacred Heart Major Seminary,
00231400, Saginaw Valley State University,
00231500, Schoolcraft College,
00231600, Siena Heights University,
00231700, Southwestern Michigan College,6.0
00231800, Spring Arbor University,392.0
00232200, Finlandia University,32.0
00232300, University of Detroit Mercy,1069.0
00232500, University of Michigan - Ann Arbor,6874.0
00232800, Washtenaw Community College,
00232900, Wayne State University,910.0
00233000, Western Michigan University,908.0
00233200, Anoka-Ramsey Community College,14.0
00233400, Augsburg College,246.0
00233500, Riverland Community College,2.0
00233600, Bemidji State University,417.0
